nombre,departamento,municipio,tipo,anio,fecha,calidad,fuente,dataset_id,fecha_extraccion
"Actividad Musical","Sin dato","Sin dato","Agente musical","Sin dato","","40","Listado de Artistas PEREIRA","aaea-ivjn","2026-05-09"
"Escuela De Formacion Artistica Y Musical","Cauca","Morales","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Agrupacion Folclorica La Guandinosa","Huila","Gigante","Festival","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Territorio Cultural Escuela De Musica Y Danza Jose Faxir Sanchez","Tolima","Planadas","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Fundacion Musical Y Escuela De Danza La Sabrosasa","Cesar","Valledupar","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Escuela De Musica De La Celia","Risaralda","La Celia","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Corporacion El Balcon De Los Artistas","Antioquia","Medellin","Festival","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Escuela Municipal De Danza Y Musica Tradicional De Andalucia","Valle Del Cauca","Andalucia","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Escuela De Danza Y Musica Folclorica Afrotambores De Pasacaballos","Bolivar","Cartagena De Indias","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Agrupacion Folclorica Guambeima","Tolima","Anzoategui","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Agrupacion Artistico Cultural Expresion Andina","Huila","Garzon","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Agrupacion Ninas Del Folclor","Huila","Garzon","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Escuela Municipal De Musica Y Danza Tradicional","Valle Del Cauca","Andalucia","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Agrupacion Folclorica Al Ritmo De Mi Tierra Santacruz","Narino","Santacruz","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Agrupacion Dancistica Furia Folclorika","Cundinamarca","Agua De Dios","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Escuela De Musica Y Danza Hernando Beleno","Bolivar","San Fernando","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Barrancabermeja Ecodiesel","Santander","Barrancabermeja","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Bogota","Bogota, D. C.","Bogota, D.C.","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Puente Aranda (Villa Del Rosario)","Bogota, D. C.","Bogota, D.C.","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Puente Aranda (Andres Bello)","Bogota, D. C.","Bogota, D.C.","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Sinfonico Puerto Asis","Putumayo","Puerto Asis","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Carepa","Antioquia","Carepa","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Sinfonico De Turbo","Antioquia","Turbo","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Lleras","Valle Del Cauca","Buenaventura","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Divino Nino","Antioquia","Caucasia","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Santo Domingo","Antioquia","Caucasia","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Sinfonico Quibdo","Choco","Quibdo","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Granizal","Antioquia","Medellin","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta El Bagre","Antioquia","El Bagre","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Doradal","Antioquia","Puerto Triunfo","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Centro Cultural La Quinta","Cundinamarca","Sibate","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Chacua Sinfonico","Cundinamarca","Sibate","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"La Paz - Discapacidad","Narino","Pasto","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Discapacidad 1 Bogota","Bogota, D. C.","Bogota, D.C.","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Discapacidad 2 Bogota","Bogota, D. C.","Bogota, D.C.","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Puerto Asis - Discapacidad","Putumayo","Puerto Asis","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Luis Guanella","Caqueta","Florencia","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Sincelejo Discapacidad","Sucre","Sincelejo","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Buenaventura - Discapacidad","Valle Del Cauca","Buenaventura","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Medellin - Discapacidad 1","Antioquia","Medellin","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Medellin - Discapacidad 2","Antioquia","Medellin","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Renacer Pacifico","Narino","San Andres De Tumaco","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Floridablanca Discapacidad","Santander","Floridablanca","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Canto A La Vida","Antioquia","Caucasia","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta San Juan Del Cesar","La Guajira","San Juan Del Cesar","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Alto Charco","Cundinamarca","Sibate","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
