departamento,municipio,genero,menciones,preferencia,confianza,fuentes
"Sin dato","Bucaramanga","Clasica","77","27","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Sin dato","Bucaramanga","Salsa","57","20","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Sin dato","Bucaramanga","Musica popular","57","20","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Sin dato","Bucaramanga","Folclor","42","15","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Sin dato","Bucaramanga","Reggaeton","39","14","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Valle Del Cauca","Calima","Salsa","20","61","100","Espacios de las Artes, las Culturas y los Saberes"
"Bogota, D. C.","Bogota, D.C.","Clasica","15","32","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Sibate","Clasica","12","86","100","Espacios de las Artes, las Culturas y los Saberes"
"Sin dato","Bucaramanga","Rock","11","4","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Sin dato","Floridablanca","Reggaeton","8","28","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Narino","Policarpa","Llanera","7","70","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Medellin","Clasica","7","41","100","Espacios de las Artes, las Culturas y los Saberes"
"Sucre","Corozal","Clasica","6","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","San Jose De Cucuta","Clasica","6","55","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Calima","Folclor","6","18","100","Espacios de las Artes, las Culturas y los Saberes"
"Bogota, D. C.","Bogota, D.C.","Llanera","6","13","100","Espacios de las Artes, las Culturas y los Saberes"
